,x,y,z,# of connected lines,0th line destination point,0line and 1line cos,1th line destination point
45,4.227423261737821,-27.005011031509465,2682.584133661229,2,1,-0.991128541323521,3
46,5.969997546459365,-25.296152006270272,2683.275973290662,2,1,-0.9907549497721461,3
47,7.25247937478811,-24.222410281596005,2683.7325090230456,2,1,-0.9906265848354885,3
48,8.362481768505873,-23.583018995908706,2684.1712021165145,2,1,-0.9906255575074849,3
49,9.53144269391159,-23.03457206349964,2684.660626533154,2,1,-0.9903894818959769,3
50,11.022969909679999,-22.095986084336833,2685.467488210485,2,1,-0.990247878020656,3
51,12.342110389119942,-21.188399265786202,2686.337772182307,2,1,-0.9902401222379045,3
52,13.47271296241472,-20.652045550786738,2687.178338935534,2,1,-0.9904083436899667,3
53,14.198910700717857,-20.180605991654414,2687.7981735697126,2,1,-0.9906045648833065,3
54,15.146717642080752,-19.7869549935839,2688.2466697245286,2,1,-0.9905185758121827,3
55,16.092560270141714,-19.197755819138948,2689.022539063466,2,1,-0.9911788988545854,3
56,17.06297969978581,-18.2705623122761,2689.9584997009915,2,1,-0.9908768619867282,3
57,17.877772340481858,-17.46708741291532,2691.0119502338016,2,1,-0.9906764324921634,3
58,18.41161744381916,-17.036344289964465,2691.829458239431,2,1,-0.9904802871768641,3
59,18.79704240797727,-16.73313555106663,2692.6117224081318,2,1,-0.9909549095488777,3
60,18.986755843913688,-16.52868487465538,2693.172635134657,2,1,-0.9910372437907461,3
61,19.384622060062625,-15.943057332076659,2693.7313335927743,2,1,-0.9905309673020751,3
62,20.147920073187997,-14.925051815176369,2694.64507367935,2,1,-0.9906894689329353,3
63,20.932842650724634,-14.01340517858847,2695.5287544787393,2,1,-0.9909604569430277,3
64,21.68721531878109,-13.352948093093769,2696.0863883796897,2,1,-0.9909095262169081,3
65,22.146462935389394,-12.994021197878876,2696.423693729141,2,1,-0.9911172688114677,3
66,22.3315019315195,-12.823056078634018,2696.5374847733597,2,1,-0.9912845413766513,3
67,22.307745354635664,-12.803115384984082,2696.5935314212124,2,1,-0.9911276215494584,3
