,x,y,z,# of connected lines,0th line destination point
168,-32.59055651664357,2.3154435779542495,2675.116111401269,1,1
169,-31.261109537960383,2.455774543399068,2676.463888056333,1,1
170,-29.02487545500691,2.5924755800184904,2678.353963695285,1,1
171,-26.817943633727666,2.395889564307095,2680.163224140984,1,1
172,-25.167179675578403,2.185839512648425,2681.3540894124994,1,1
173,-24.310667802452492,2.028101895490622,2681.957546105242,1,1
174,-22.691796112201168,1.8087535800120458,2683.4077080885463,1,1
175,-18.69274095028453,1.300977839433639,2686.8182429288286,1,1
176,-14.070904924772583,0.13789053155522524,2690.2814224050567,1,1
177,-10.199430487988598,-1.525336770540001,2692.7860198630924,1,1
178,-7.513476582784615,-3.134421312967441,2694.148350074882,1,1
179,-5.9926842449542495,-4.261176019667763,2694.7660162042876,1,1
180,-6.001203010539686,-4.794392894939867,2694.900725921954,1,1
181,-6.678193351311515,-5.034490807153013,2694.7950894688356,1,1
182,-6.147502364497477,-5.2131892650735425,2695.2694724220437,1,1
183,-4.991942845833339,-5.633122972998059,2695.85101852695,1,1
184,-4.020480904436151,-6.252641832873193,2696.1169919284685,1,1
185,-3.602502851930028,-6.516371951452453,2696.178500990872,1,1
186,-4.086961139667056,-6.333844259800321,2695.8162309672653,1,1
187,-5.71221503225269,-5.762149571998636,2695.2599145790973,1,1
188,-6.390232951034193,-5.2817980289927435,2695.137797594252,1,1
189,-5.093693649983492,-5.163653561323092,2695.848787041239,1,1
190,-2.471662079599124,-5.771059935718404,2696.8244656740367,1,1
191,0.02880208058604561,-7.42635650495132,2697.9070635347102,1,1
192,1.8407298720628973,-9.203215018619646,2698.6633172640477,1,1
193,2.707984840558415,-10.154454977498677,2698.934330705983,1,1
194,2.3025098391026217,-10.140045189559821,2698.7208956437175,1,1
195,0.20922066926622174,-9.036443818429662,2697.9262271956195,1,1
196,-2.5356660723264475,-7.628301389616179,2696.9736809868746,1,1
197,-5.233876932088791,-6.2082870612795205,2696.0499363750914,1,1
198,-7.971781673426424,-4.832251248075537,2694.8570818332087,1,1
199,-11.272290751217726,-3.451530572590028,2692.908345489198,1,1
200,-15.57020732609789,-2.0343781646102235,2690.2174034379773,1,1
201,-20.495077472390914,-0.7936736830664834,2687.130680770175,1,1
202,-23.014976847980527,-0.1296442053101145,2685.9526091573002,1,1
203,-23.421721119263474,0.6286057818990823,2686.187151706573,1,1
